id,programa,semestre,jornada,promedio_acumulado,promedio_ultimo,materias_perdidas,dificultad_alta,pct_creditos_aprobados,acceso_plataforma,frecuencia_semanal,frecuencia_baja,participacion_baja,no_consulta_profesores,estrato,estrato_bajo,trabaja,horas_semanales,trabaja_mucho,dependientes,dificultad_pago,dificultad_pago_alta,piensa_desertar_frecuente,piensa_desertar_alguna_vez,satisfaccion_programa,satisfaccion_baja,probabilidad_continuar_percibida,probabilidad_continuar_baja,claridad_baja,evento_estresante,indice_riesgo_academico,indice_engagement,target_desercion,fecha_procesamiento,probabilidad_desercion,clase_predicha,riesgo_categoria,recomendacion,fecha_prediccion,modelo_version
EST_NUEVO_001,Contaduria,3,Diurna,3.33,3.1,2,0,0.4,1,8,0,0,0,2,1,0,0,0,0,1,0,0,1,5,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:34:11.185213,0.6302619010206538,1,MEDIO,   SEGUIMIENTO: Coordinador de programa en 1 semana,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_002,Derecho,7,Virtual,3.22,2.8200000000000003,1,0,0.4,1,8,0,0,0,2,1,0,0,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:34:11.185213,0.7866048418647327,1,ALTO,  CONTACTO INMEDIATO: Bienestar estudiantil en 24h | Tutor as acad micas urgentes,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_003,Ingenieria_Sistemas,6,Diurna,3.44,2.98,1,0,0.4,1,8,0,0,0,2,1,0,0,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:34:11.185722,0.679717451519855,1,MEDIO,   SEGUIMIENTO: Coordinador de programa en 1 semana | Tutor as acad micas urgentes,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_004,Contaduria,3,Diurna,3.62,3.5500000000000003,1,0,0.4,1,8,0,0,0,2,1,0,0,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:34:11.185722,0.5884701647269059,1,MEDIO,   SEGUIMIENTO: Coordinador de programa en 1 semana,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_005,Psicologia,7,Diurna,2.56,2.37,5,1,0.4,0,2,1,0,0,2,1,1,40,1,0,2,1,1,0,1,1,0.2,1,0,1,0.5,0.5,,2026-02-28T18:34:11.185722,0.9673624351496752,1,ALTO,  CONTACTO INMEDIATO: Bienestar estudiantil en 24h | Psicolog a: Clarificaci n de prop sito acad mico | Tutor as acad micas urgentes | Verificaci n t cnica + contacto telef nico | Evaluar flexibilidad horaria/carga laboral | Orientaci n financiera: becas de emergencia,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_006,Ingenieria_Sistemas,7,Virtual,3.22,2.8800000000000003,2,0,0.4,1,8,0,0,0,2,1,0,0,0,0,1,0,0,1,5,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:34:11.185722,0.7446100607644319,1,ALTO,  CONTACTO INMEDIATO: Bienestar estudiantil en 24h | Tutor as acad micas urgentes,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_007,Administracion,8,Nocturna,4.91,4.72,0,0,0.4,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:34:11.186228,0.008453681636225641,0,BAJO,  MONITOREO: Rutina est ndar,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_008,Administracion,10,Virtual,3.35,3.27,1,0,0.4,1,8,0,0,0,2,1,0,0,0,0,1,0,0,1,4,1,0.5,0,0,1,0.5,0.5,,2026-02-28T18:34:11.186228,0.6341033527316604,1,MEDIO,   SEGUIMIENTO: Coordinador de programa en 1 semana,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_009,Contaduria,1,Virtual,4.17,3.92,0,0,0.4,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:34:11.186228,0.021914280327327486,0,BAJO,  MONITOREO: Rutina est ndar,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_010,Derecho,3,Diurna,3.65,3.4899999999999998,1,0,0.4,1,8,0,0,0,2,1,0,0,0,0,1,0,0,1,5,0,0.5,0,0,1,0.5,0.5,,2026-02-28T18:34:11.186731,0.5622804056977491,1,MEDIO,   SEGUIMIENTO: Coordinador de programa en 1 semana,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_011,Ingenieria_Sistemas,3,Diurna,4.79,4.42,0,0,0.4,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:34:11.186731,0.022539280327327486,0,BAJO,  MONITOREO: Rutina est ndar,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_012,Psicologia,6,Nocturna,4.94,4.7,0,0,0.4,1,8,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0.95,0,0,1,0.5,0.5,,2026-02-28T18:34:11.186731,0.008453681636225641,0,BAJO,  MONITOREO: Rutina est ndar,2026-02-28T18:34:11.821751,RF_v1.0
EST_NUEVO_013,Psicologia,4,Nocturna,1.96,1.68,3,1,0.4,0,2,1,0,0,2,1,1,40,1,0,2,1,1,0,2,1,0.2,1,0,1,0.5,0.5,,2026-02-28T18:34:11.186731,0.9739617361621028,1,ALTO,  CONTACTO INMEDIATO: Bienestar estudiantil en 24h | Psicolog a: Clarificaci n de prop sito acad mico | Tutor as acad micas urgentes | Verificaci n t cnica + contacto telef nico | Evaluar flexibilidad horaria/carga laboral | Orientaci n financiera: becas de emergencia,2026-02-28T18:34:11.821751,RF_v1.0
